鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
w_KEY	w_CHT	w_CHS	w_JP	w_ENG	w_THA	w_PT	w_ES	w_DE	w_RU	w_FR	w_KR
MAIN_STAGE_1	高速公路	高速公路	ハイウェイ	Highway	ไฮเวย์	Rodovia	Carretera	Autobahn	Трасса	Autoroute	고속도로
MAIN_STAGE_2	礦山	矿山	鉱山	Gallery	เหมือง	Galeria	Galería	Galerie	Галерея	Galerie	광산
MAIN_STAGE_3	工廠	工厂	工場	Factory	โรงงาน	Fábrica	Fábrica	Fabrik	Фабрика	Usine	공장
MAIN_STAGE_4	空軍基地	空军基地	エアフォース	Air Force	ฐานทัพอากาศ	Força Aérea	Fuerza Aérea	Luftwaffe	Воздушные Силы	Force aérienne	공군 기지
MAIN_STAGE_5	機場	机场	空港	Sky	สนามบิน	Céu	Cielo	Himmel	Небо	Ciel	공항
MAIN_STAGE_6	浮遊遺跡	浮游遗迹	浮遊遺跡	Floating Ruins	ซากโบราณลอยน้ำ	Ruínas Flutuantes	Ruinas Flotantes	Schwimmende Ruinen	Парящие Руины	Ruines flottantes	부유 유적
MAIN_STAGE_7	深綠之森	深绿之森	エリアフォレスト	Area Forest	ผืนป่าเขียวขจี	Área Florestal	Zona del Bosque	Gebietswald	Лесная Зона	Forêt	울창한 삼림
MAIN_STAGE_8	軍事列車	军事列车	ミリタリートレイン	Military Train	รถไฟทหาร	Trem Militar	Tren Militar	Militärzug	Военный Локомотив	Train militaire	군수품 열차
MAIN_STAGE_9	電子空間	电子空间	サイバースペース	Cyberspace	โลกไซเบอร์	Ciberespaço	Ciberespacio	Cyberspace	Киберпространство	Cyberespace	전뇌 세계
MAIN_STAGE_10	火山	火山	ヴォルカノ	Volcano	ภูเขาไฟ	Vulcão	Volcán	Vulkan	Вулкан	Volcan	화산
MAIN_STAGE_11	沙漠工廠	沙漠工厂	油田	Oil Field	โรงงานทะเลทราย	Campo de Petróleo	Campo Petrolero	Ölfeld	Нефтебаза	Champ pétrolier	사막 공장
MAIN_STAGE_12	電力管理工廠	电力管理工厂	電力管理センター	Power Control Center	โรงงานไฟฟ้า	Centro de Controle de Energia	Centro de Control de Energía	Machtkontroll-Zentrum	Электростанция	Centre de contrôle	전력 제어 공장
MAIN_STAGE_13	雪原基地	雪原基地	スノーベース	Snow Base	ฐานทัพหิมะ	Base da Neve	Base de Nieve	Schnee-Base	Снежная База	Base enneigée	설원 기지
MAIN_STAGE_14	生化實驗室	生化实验室	バイオラボラトリー	Bio Laboratory	ไบโอแลป	Biolaboratório	Laboratorio Biológico	Bio-Labor	Био-Лаборатория	Labo biologique	생화학 실험실
MAIN_STAGE_15	超電磁研究所	超电磁研究所	超電磁研究所	Super-Electromagnetic Lab	ห้องแลปสุดยอดแม่เหล็กไฟฟ้า	Laboratório Super Eletromagnético	Laboratorio Super-Electromagnético	Super-Elektromagnetisches Labor	Супер-Электролаборатория	Labo super électromagnétique	초전자 연구소
MAIN_STAGE_16	電算空間	电算空间	デンサンエリア	Den Area	คอมพิวเตอร์สเปซ	Área da Toca	Den Area	Den-Bereich	Логово	Espace Den	전뇌 세계
MAIN_STAGE_17	古城	古城	古城	Old Castle	ปราสาทโบราณ	Velho Castelo	Castillo Viejo	Das Alte Schloss	Старый Замок	Vieux château	오래된 성
MAIN_STAGE_18	炸彈工廠	炸弹工厂	グレネードファクトリー	Ammunition Factory	โรงงานระเบิด	Fábrica de Munições	Fábrica de municiones	Munitionsfabrik	Фабрика Боеприпасов	Usine de munitions	탄약 공장
MAIN_STAGE_19	仲裁空軍	仲裁空军	レプリエアフォース	Reploid Air Force	เรพลอยด์ แอร์ ฟอร์ส	Reploid Air Force	Fuerza Aérea Reploide	Reploid Luftwaffe	Реплоид ВВС	Force aérienne Réploïde	仲裁空軍
MAIN_STAGE_20	深層紀錄檔	深层纪录档	ディープログ	Deep Log 	ดีปล็อก 						
STAGE_NAME_111	高速公路1-1(普通)	高速公路1-1(普通)	ハイウェイ1-1(ノーマル)	Highway 1-1(Normal)	ไฮเวย์ 1-1 (ทั่วไป)	Rodovia 1-1(Normal)	Carretera 1-1 (Normal)	Autobahn 1-1(Normal)	Трасса 1-1(Норм)	Autoroute 1-1 (Normal)	고속도로 1-1(일반)
STAGE_NAME_121	高速公路1-2(普通)	高速公路1-2(普通)	ハイウェイ1-2(ノーマル)	Highway 1-2(Normal)	ไฮเวย์ 1-2 (ทั่วไป)	Rodovia 1-2(Normal)	Carretera 1-2 (Normal)	Autobahn 1-2(Normal)	Трасса 1-2(Норм)	Autoroute 1-2 (Normal)	고속도로 1-2(일반)
STAGE_NAME_131	高速公路1-3(普通)	高速公路1-3(普通)	ハイウェイ1-3(ノーマル)	Highway 1-3(Normal)	ไฮเวย์ 1-3 (ทั่วไป)	Rodovia 1-3(Normal)	Carretera 1-3 (Normal)	Autobahn 1-3(Normal)	Трасса 1-3(Норм)	Autoroute 1-3 (Normal)	고속도로 1-3(일반)
STAGE_NAME_141	高速公路1-4(普通)	高速公路1-4(普通)	ハイウェイ1-4(ノーマル)	Highway 1-4(Normal)	ไฮเวย์ 1-4 (ทั่วไป)	Rodovia 1-4(Normal)	Carretera 1-4 (Normal)	Autobahn 1-4(Normal)	Трасса 1-4(Норм)	Autoroute 1-4 (Normal)	고속도로 1-4(일반)
STAGE_NAME_151	高速公路1-5(普通)	高速公路1-5(普通)	ハイウェイ1-5(ノーマル)	Highway 1-5(Normal)	ไฮเวย์ 1-5 (ทั่วไป)	Rodovia 1-5(Normal)	Carretera 1-5 (Normal)	Autobahn 1-5(Normal)	Трасса 1-5(Норм)	Autoroute 1-5 (Normal)	고속도로 1-5(일반)
STAGE_NAME_161	高速公路1-6(普通)	高速公路1-6(普通)	ハイウェイ1-6(ノーマル)	Highway 1-6(Normal)	ไฮเวย์ 1-6 (ทั่วไป)	Rodovia 1-6(Normal)	Carretera 1-6 (Normal)	Autobahn 1-6(Normal)	Трасса 1-6(Норм)	Autoroute 1-6 (Normal)	고속도로 1-6(일반)
STAGE_NAME_211	礦山2-1(普通)	矿山2-1(普通)	鉱山2-1(ノーマル)	Gallery 2-1(Normal)	เหมือง 2-1 (ทั่วไป)	Galeria 2-1(Normal)	Galería 2-1 (Normal)	Galerie 2-1(Normal)	Галерея 2-1(Норм)	Galerie 2-1 (Normal)	광산 2-1(일반)
STAGE_NAME_221	礦山2-2(普通)	矿山2-2(普通)	鉱山2-2(ノーマル)	Gallery 2-2(Normal)	เหมือง 2-2 (ทั่วไป)	Galeria 2-2(Normal)	Galería 2-2 (Normal)	Galerie 2-2(Normal)	Галерея 2-2(Норм)	Galerie 2-2 (Normal)	광산 2-2(일반)
STAGE_NAME_231	礦山2-3(普通)	矿山2-3(普通)	鉱山2-3(ノーマル)	Gallery 2-3(Normal)	เหมือง 2-3 (ทั่วไป)	Galeria 2-3(Normal)	Galería 2-3 (Normal)	Galerie 2-3(Normal)	Галерея 2-3(Норм)	Galerie 2-3 (Normal)	광산 2-3(일반)
STAGE_NAME_241	礦山2-4(普通)	矿山2-4(普通)	鉱山2-4(ノーマル)	Gallery 2-4(Normal)	เหมือง 2-4 (ทั่วไป)	Galeria 2-4(Normal)	Galería 2-4 (Normal)	Galerie 2-4(Normal)	Галерея 2-4(Норм)	Galerie 2-4 (Normal)	광산 2-4(일반)
STAGE_NAME_251	礦山2-5(普通)	矿山2-5(普通)	鉱山2-5(ノーマル)	Gallery 2-5(Normal)	เหมือง 2-5 (ทั่วไป)	Galeria 2-5(Normal)	Galería 2-5 (Normal)	Galerie 2-5(Normal)	Галерея 2-5(Норм)	Galerie 2-5 (Normal)	광산 2-5(일반)
STAGE_NAME_261	礦山2-6(普通)	矿山2-6(普通)	鉱山2-6(ノーマル)	Gallery 2-6(Normal)	เหมือง 2-6 (ทั่วไป)	Galeria 2-6(Normal)	Galería 2-6 (Normal)	Galerie 2-6(Normal)	Галерея 2-6(Норм)	Galerie 2-6 (Normal)	광산 2-6(일반)
STAGE_NAME_311	工廠3-1(普通)	工厂3-1(普通)	工場3-1(ノーマル)	Factory 3-1(Normal)	โรงงาน 3-1 (ทั่วไป)	Fábrica 3-1(Normal)	Fábrica 3-1 (Normal)	Fabrik 3-1(Normal)	Фабрика 3-1(Норм)	Usine 3-1 (Normal)	공장 3-1(일반)
