	關卡類型	主關卡ID	次關卡ID	難度	前置關卡	背景編碼	ICON編碼	開放等級	消耗AP	次數限制	重置規則	戰力指標	時間限制	環境損傷	單人模式	特殊規則	場景編碼	配置編碼	音樂	BOSS進場音樂	BOSS戰音樂	隱藏要素	通關條件1	通關條件1參數	通關條件2	通關條件2參數	通關條件3	通關條件3參數	首破經驗	首破金幣	首破戰利品	獲得經驗	獲得金幣	獲得戰利品	獲得熟練度	BOSS介紹	路徑	開始時間	結束時間	起始版本	結束版本	名稱	說明	
n_ID	n_TYPE	n_MAIN	n_SUB	n_DIFFICULTY	s_PRE	s_BG	s_ICON	n_RANK	n_AP	n_PLAY_COUNT	n_RESET_RULE	n_CP	n_TIME	n_ENV_DAMAGE	n_SINGLEPLAY	n_STAGE_RULE	s_STAGE	s_SET	s_BGM	s_BOSSENTRY_BGM	s_BOSSBATTLE_BGM	n_SECRET	n_CLEAR1	n_CLEAR_VALUE1	n_CLEAR2	n_CLEAR_VALUE2	n_CLEAR3	n_CLEAR_VALUE3	n_FIRST_EXP	n_FIRST_MONEY	n_FIRST_REWARD	n_GET_EXP	n_GET_MONEY	n_GET_REWARD	n_PROF	w_BOSS_INTRO	s_PATH	s_BEGIN_TIME	s_END_TIME	s_START_VERSION	s_END_VERSION	w_NAME	w_TIP	
111	1	1	1	1	null	bg_stage_001	icon_stage_001_001	0	8	-1	0	1460	0	15	0	1	stage01_0101_e1	stage01_0101_e1	BGM00,bgm_st_highway	null	BGM02,bgm_st_boss12	0	1	0	4	1	3	30	100	3000	11	64	800	1	40	MAOH	-625,235,4,-625,138,0,284.49,90,71.4,180,147.5,90,71.9	null	null	1.00.0000	null	STAGE_NAME_111	null	
121	1	1	2	1	111	bg_stage_001	icon_stage_001_002	0	8	-1	0	1522	0	15	0	0	stage01_0102_e1	stage01_0102_e1	BGM00,bgm_st_highway	null	null	1	1	0	2	300	3	30	200	3200	31	64	800	21	40	null	-378,0,3,-272,0,90,35.7,180,168.7,90,31.5	null	null	1.00.0000	null	STAGE_NAME_121	null	
131	1	1	3	1	121	bg_stage_001	icon_stage_001_003	0	8	-1	0	1589	0	15	0	0	stage01_0103_e1	stage01_0103_e1	BGM00,bgm_st_highway	null	null	1	1	0	2	300	3	30	300	3400	51	64	800	41	40	null	-100,165,7,4,165,90,67.9,0,230.2,-90,97.2,0,312.5,90,75.7,180,148.4,90,28	null	null	1.00.0000	null	STAGE_NAME_131	null	
141	1	1	4	1	131	bg_stage_001	icon_stage_001_004	0	8	-1	0	1661	0	15	0	0	stage01_0104_e1	stage01_0104_e1	BGM00,bgm_st_highway	null	null	0	1	0	2	300	3	30	400	3600	71	64	800	61	40	null	185,-227,5,291.1,-227,90,47.6,180,260,-90,123.5,180,133.7,90,77.2	null	null	1.00.0000	null	STAGE_NAME_141	null	
151	1	1	5	1	141	bg_stage_001	icon_stage_001_005	0	8	-1	0	1836	0	15	0	0	stage01_0105_e1	stage01_0105_e1	BGM00,bgm_st_highway	null	null	2	1	0	2	300	3	30	500	3800	91	64	800	81	40	null	400,162,3,507.2,163,90,35.2,0,265.6,90,28.6	null	null	1.00.0000	null	STAGE_NAME_151	null	
161	1	1	6	1	151	bg_stage_001	icon_stage_001_006	0	8	-1	0	1940	0	15	0	0	stage01_0106_e1	stage01_0106_e1	BGM00,bgm_st_highway	null	BGM02,bgm_st_boss12	0	1	0	2	300	3	30	600	4000	111	64	800	101	40	MAOH	675,-100,1,0,0,0,0	null	null	1.00.0000	null	STAGE_NAME_161	null	
211	1	2	1	1	161	bg_stage_002	icon_stage_002_001	0	8	-1	0	2052	0	15	0	0	stage01_0201_e1	stage01_0201_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	700	4200	131	64	800	121	40	null	-665,-50,4,-665,44.2,180,233.4,90,162.5,0,253.4,90,48.8	null	null	1.00.0000	null	STAGE_NAME_211	null	
221	1	2	2	1	211	bg_stage_002	icon_stage_002_002	0	8	-1	0	2174	0	15	0	0	stage01_0202_e1	stage01_0202_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	800	4400	151	64	800	141	40	null	-350,24,4,-350,-70,0,92.4,90,89,0,84,90,106.3	null	null	1.00.0000	null	STAGE_NAME_221	null	
231	1	2	3	1	221	bg_stage_002	icon_stage_002_003	0	8	-1	0	2520	0	15	0	0	stage01_0203_e1	stage01_0203_e1	BGM01,bgm_st_mine	null	null	1	1	0	2	300	3	30	900	4600	171	64	800	161	40	null	-50.00001,-243,4,57.9,-240.5,90,109.46,0,100.6,90,140.2,180,186.6	null	null	1.00.0000	null	STAGE_NAME_231	null	
